filename,mean_grain_diameter_px,grain_count
1.jpg,35.36,9
10.jpg,22.15,43
11.jpg,519.14,3
12.jpg,26.87,162
13.jpg,51.18,6
14.jpg,1094.08,1
148248735-grey-rock-pile-isolated-on-white-background.jpg,13.16,20
15.jpg,14.45,21
16.jpg,122.13,10
17.jpg,291.35,1
18.jpg,20.49,27
1850214285_8a641c7410_m.jpg,10.82,60
19.jpg,46.9,7
2.jpg,139.11,5
20.jpg,23.27,66
20190118_165618.jpg,18.07,90
21.jpg,153.0,3
22.jpg,583.32,1
23.jpg,84.7,11
24.jpg,95.46,6
240_F_96439435_ccm6M1GN74GBAsg7e4PcEuuJhLaobBM4.jpg,106.2,3
25.jpg,549.09,2
26.jpg,18.06,371
268-2689908_cut-content-subnautica-wiki-fandom-powered-by-wikia.png,741.08,1
27.jpg,41.95,5
28.jpg,13.34,133
29.jpg,10.94,130
3.jpg,36.35,7
30.jpg,224.55,1
31.png,26.77,46
319581046.jpg,42.45,10
319581160.jpg,44.11,10
32.jpg,374.37,1
33.jpg,15.59,127
34.jpg,11.04,84
35.jpg,238.73,1
36.jpg,11.86,150
37.jpg,10.42,219
38.jpg,184.31,3
39.jpg,142.57,4
4.jpg,56.89,7
40.jpg,176.38,1
41.jpg,39.84,16
42.jpg,58.76,14
43.jpg,228.5,1
44.jpg,12.01,464
45.jpg,52.94,16
46.jpg,717.48,1
47.jpg,20.62,65
48.jpg,12.16,212
49.jpg,12.38,56
5.jpg,344.74,1
50.jpg,36.87,7
500_F_123148070_rcGuQFVCzgOdSamq7U0mleROolKCbBsJ.jpg,17.56,52
51.jpg,16.14,67
52.jpg,39.0,6
6.jpg,55.68,25
7.jpg,219.81,2
7ae2fbb2259062b944e5f9f551330008.jpg,13.19,51
8.jpg,99.72,7
800px_COLOURBOX18999858.jpg,10.06,145
9.jpg,73.62,40
Basalt mix.jpg,37.59,14
basalt-columns.jpg,72.69,4
Basalt-Lava-Rock-Vivarium-Guide-768x568.jpg,744.11,1
basalt-texture.jpg,8.77,97
BasaltOlivinePheno.jpg,24.35,30
BasaltOlivinePhenoCUp.jpg,574.03,1
below-tumbling-grade-basalt-lg.jpg,93.03,19
c0046667-800px-wm.jpg,244.26,3
can-stock-photo_csp10523025.jpg,27.37,16
collection-small-rock-isolated-white-background_70287-3572.jpg,21.19,10
gettyimages-1127177629-612x612.jpg,43.78,12
gettyimages-865515424-612x612.jpg,31.99,20
images.jpg,83.6,3
istockphoto-184659485-612x612.jpg,49.18,7
Ornament-Basalt-Rock-X-small-14x7x6.7cm-37152XS-JPG.jpg,16.05,128
P1020339.jpg,38.41,14
piece-raw-gray-hyalobasalt-rock-isolated-closeup-sample-natural-mineral-geological-collection-white-background-170798111.jpg,19.43,151
piilonen09-10.jpg,146.44,3
rosen-kazlachev-full.jpg,396.28,5
rosetta-stone.jpg,255.53,1
Scoria-from-Etna.jpg,88.52,7
unnamed.jpg,31.57,12
unpolished-gray-basalt-rock-cutout-on-white-background-2AXX13J.jpg,18.31,125
Vesicular-and-Amygdaloidal-Textures.jpg,15.58,61
