filename,mean_grain_diameter_px,grain_count
0.jpg,911.62,1
1.jpg,17.48,19
10.jpg,457.84,1
100.jpg,378.38,1
101.jpg,350.73,1
102.jpg,53.41,7
103.jpg,383.83,1
104.jpg,24.71,16
105.jpg,345.64,1
106.jpg,116.38,3
107.jpg,322.17,1
108.jpg,52.29,7
109.jpg,352.37,1
11.jpg,25.93,28
110.jpg,61.1,8
111.jpg,422.29,1
112.jpg,384.93,1
113.jpg,155.98,2
114.jpg,63.82,5
115.jpg,45.15,8
116.jpg,291.79,1
117.jpg,128.43,2
118.jpg,305.36,1
119.jpg,72.57,13
12.jpeg,279.76,3
120.jpg,169.77,1
121.jpg,86.72,4
122.jpg,199.68,1
123.jpg,112.56,2
124.jpg,197.89,1
125.jpg,85.23,6
126.jpg,217.58,1
127.jpg,256.0,1
13.jpg,70.54,4
130.jpg,126.17,2
131.jpg,540.37,1
132.jpg,776.46,3
133.jpg,233.67,1
134.jpg,331.08,1
135.jpg,175.41,2
136.jpg,187.06,13
137.jpg,364.18,1
138.jpg,45.66,30
139.jpg,88.63,14
14.png,60.57,11
140.jpg,253.53,3
141.png,308.88,3
142.jpg,28.7,25
143.jpg,67.18,8
144.jpg,198.13,2
145.jpg,104.18,4
146.jpg,32.68,20
147.jpg,193.92,4
148.jpg,473.65,1
149.jpg,234.36,1
15.jpg,352.54,1
150.jpg,64.3,8
151.jpg,383.14,1
152.jpg,23.38,22
153.jpg,305.84,2
154.jpg,248.9,1
155.jpg,74.76,5
156.jpg,34.14,16
157.jpg,266.28,1
158.jpg,73.58,4
159.jpg,287.48,1
16.jpg,158.21,1
160.jpg,13.15,954
161.png,160.35,2
162.jpeg,160.92,1
163.jpeg,250.66,1
164.jpeg,20.31,15
165.jpeg,29.12,13
166.jpeg,250.03,1
167.jpeg,248.5,1
168.jpeg,30.42,9
169.jpeg,251.71,1
17.jpg,176.77,2
170.jpeg,141.63,1
171.jpeg,102.58,2
172.jpeg,110.39,1
173.jpeg,240.83,1
174.jpeg,250.14,1
175.jpeg,113.53,2
176.jpeg,121.43,1
177.jpeg,26.72,10
178.jpeg,116.67,2
179.jpeg,119.71,2
18.jpg,287.7,1
180.jpeg,77.28,1
181.jpeg,79.37,1
182.jpg,82.23,2
183.jpg,241.61,1
184.jpg,247.43,1
185.jpg,251.45,1
186.jpg,164.26,1
187.jpg,126.93,2
188.jpg,242.91,1
189.jpg,139.99,2
19.jpg,87.53,4
190.jpg,250.44,1
191.jpg,252.12,1
192.jpg,168.11,1
193.jpg,121.79,1
194.jpg,111.3,1
195.jpg,80.13,3
196.jpg,251.51,1
197.jpg,191.51,1
198.jpg,251.45,1
199.jpg,251.67,1
2.jpg,62.3,20
20.jpg,306.58,1
200.jpg,251.6,1
201.jpg,250.5,1
202.jpg,85.72,3
203.jpg,113.81,2
204.jpg,128.88,2
205.jpg,95.31,2
206.jpg,52.18,5
207.jpg,250.31,1
208.jpg,44.45,2
209.jpg,21.02,16
21.jpg,45.9,10
210.jpg,196.62,1
211.jpg,252.55,1
212.jpg,107.06,2
213.jpg,250.31,1
214.jpg,252.14,1
215.jpg,14.73,30
216.jpg,39.21,7
217.jpg,23.17,12
218.jpg,251.79,1
219.jpg,27.0,9
22.jpg,54.11,6
220.jpg,51.51,2
221.jpg,39.09,7
222.jpg,39.13,8
223.jpg,41.61,7
224.jpg,209.82,1
225.jpg,51.09,5
226.jpg,145.66,2
227.jpg,251.47,1
228.jpg,189.75,1
229.jpg,242.3,1
23.jpg,88.96,3
230.jpg,168.46,1
231.jpg,48.83,5
232.jpg,251.98,1
233.jpg,37.4,5
234.jpg,110.47,1
235.jpg,99.63,1
236.jpg,18.95,16
237.jpg,251.34,1
238.jpg,223.41,1
239.jpg,173.63,1
24.jpg,4.78,18
240.jpg,82.62,1
241.jpg,109.63,3
242.jpg,247.86,1
243.jpg,48.99,6
244.jpg,116.77,2
245.jpg,132.27,1
246.jpg,237.26,1
247.jpg,53.46,5
248.jpg,71.24,4
249.jpg,251.72,1
25.jpg,6.39,26
250.jpg,251.63,1
251.jpg,25.93,11
252.jpg,252.1,1
253.jpg,39.46,6
254.jpg,252.04,1
255.jpg,196.2,1
256.jpg,251.51,1
257.jpg,91.9,2
258.jpg,79.37,1
259.jpg,124.61,2
26.jpg,352.17,1
260.jpg,178.08,1
261.jpg,251.49,1
262.jpg,59.16,4
263.jpg,86.46,1
264.jpg,252.67,1
265.jpg,127.52,2
266.jpg,221.65,1
267.jpg,244.24,1
268.jpg,120.08,2
269.jpg,252.22,1
27.jpg,7.83,79
270.jpg,15.6,6
271.jpg,23.52,4
272.jpg,247.42,1
273.jpg,248.33,1
274.jpg,252.48,1
275.jpg,234.01,1
276.jpg,124.88,2
277.jpg,227.63,1
278.jpg,14.53,21
279.jpg,250.11,1
28.jpg,9.19,43
280.jpg,138.26,2
281.jpg,250.58,1
282.jpg,60.58,3
283.jpg,252.71,1
284.jpg,250.87,1
285.jpg,250.59,1
286.jpg,244.99,1
287.jpg,125.68,2
288.jpg,234.84,1
289.jpg,19.3,19
29.jpg,8.12,64
290.jpg,48.38,2
291.jpg,47.27,66
292.jpg,352.29,1
293.jpg,115.17,2
294.jpg,268.62,1
295.jpg,66.02,3
296.jpg,63.47,5
297.jpg,54.28,7
298.jpg,59.76,6
299.jpg,72.41,5
3.jpg,767.87,1
30.jpg,8.07,18
300.jpg,69.98,4
301.jpg,347.36,1
302.jpg,352.59,1
303.jpg,352.59,1
304.jpg,352.59,1
305.jpg,64.06,6
306.jpg,352.58,1
307.jpg,353.47,1
308.jpg,370.16,1
309.jpg,353.49,1
31.jpg,90.76,4
310.jpg,332.49,1
311.jpg,10.21,25
312.jpg,22.4,67
313.jpg,636.28,1
314.jpg,68.84,3
315.jpg,179.43,1
316.jpg,351.29,1
317.jpg,611.48,1
318.jpg,17.29,15
319.jpg,54.94,4
32.jpg,188.64,1
320.jpg,16.98,29
321.jpg,177.61,1
322.jpg,17.37,18
323.jpg,349.86,1
324.jpg,11.56,19
325.jpg,13.98,18
326.jpg,84.3,2
327.jpg,385.91,1
328.jpg,189.17,1
329.jpg,34.37,9
33.jpg,188.64,1
330.jpg,8.4,50
331.jpg,8.61,40
332.jpg,8.61,40
333.jpg,23.0,20
334.jpg,30.03,10
335.jpg,67.61,3
336.jpg,67.61,3
337.jpg,16.61,14
338.jpg,231.72,1
339.jpg,30.63,15
34.jpg,99.72,2
340.jpg,18.37,15
341.jpg,256.03,1
342.jpg,39.39,16
343.jpg,145.04,1
344.jpg,133.55,1
345.jpg,27.77,8
346.jpg,145.12,1
347.jpg,207.26,1
348.jpg,207.26,1
349.jpg,104.79,2
35.jpg,351.22,1
350.jpg,94.67,2
351.jpg,119.8,2
352.jpg,187.29,1
353.jpg,352.58,1
354.jpg,118.59,2
355.jpg,40.56,11
