filename,mean_grain_diameter_px,grain_count
1.jpg,20.35,18
10.jpg,7.22,111
100.jpg,81.09,6
11.jpg,8.54,113
12.jpg,97.53,7
13.jpg,23.67,68
14.jpg,14.6,125
15.jpg,11.53,137
16.jpg,11.25,175
17.jpg,9.24,103
18.jpg,11.92,50
19.jpg,33.76,16
2.jpg,7.22,111
20.jpg,20.85,24
21.jpg,16.39,44
22.jpg,16.03,125
23.jpeg,113.26,16
24.png,1110.29,1
25.png,1155.57,1
26.png,17.45,39
27.jpeg,18.14,64
28.jpg,23.54,142
29.jpg,15.74,63
3.jpg,9.96,119
30.jpg,10.14,174
31.jpg,11.36,2244
32.jpg,15.48,33
33.jpg,286.29,2
34.JPEG,14.39,68
35.jpg,18.32,97
36.JPEG,10.67,72
37.jpg,19.45,99
38.jpg,10.45,209
39.jpg,12.92,681
4.jpg,13.97,60
40.JPEG,15.76,65
41.jpg,208.64,1
42.jpg,11.17,982
43.jpg,10.85,784
44.jpg,9.16,92
45.jpg,10.91,196
46.jpg,266.46,1
47.jpg,16.5,99
48.jpg,11.92,91
49.jpg,13.09,380
5.jpg,12.84,204
50.jpg,15.47,61
51.jpg,14.63,111
52.jpg,11.02,159
53.jpg,158.69,6
54.jpg,7.12,979
55.jpg,10.33,26
56.jpg,20.22,47
57.jpg,19.31,41
58.png,21.72,142
59.jpg,12.7,60
6.jpg,6.42,1405
60.jpg,11.69,69
61.jpg,77.9,3
62.jpg,13.0,77
63.jpg,22.97,98
64.JPEG,33.87,10
65.jpg,20.85,24
66.jpg,15.55,187
67.jpg,172.55,2
68.jpg,15.13,30
69.png,12.58,160
7.jpg,12.52,109
70.jpg,22.05,80
71.jpg,10.88,1047
72.jpg,11.29,786
73.JPEG,15.57,40
74.JPEG,22.53,31
75.JPEG,12.44,59
76.JPEG,42.81,11
77.JPEG,39.79,9
78.JPEG,12.44,59
79.JPEG,11.57,89
8.jpg,12.26,36
80.JPEG,7.99,203
81.JPEG,9.17,150
82.JPEG,36.66,18
83.JPEG,77.49,8
84.JPEG,65.67,9
85.JPEG,11.24,68
86.JPEG,49.77,13
87.png,43.7,32
88.jpg,13.68,282
89.jpg,233.56,1
9.jpg,9.13,155
90.jpg,15.47,263
91.JPEG,15.03,350
92.jpg,12.74,58
93.jpg,11.78,484
94.jpg,112.38,2
95.jpg,758.63,1
96.jpg,18.3,39
97.jpg,16.46,104
98.JPEG,17.53,35
99.jpg,21.24,72
granite.png,13.53,56
