filename,mean_grain_diameter_px,grain_count
0.jpg,10.24,251
1.jpg,8.21,264
10.jpg,11.14,64
100.jpeg,11.98,169
105.jpg,11.07,209
106.jpg,13.34,98
107.jpg,16.94,62
108.jpg,189.26,3
109.jpg,9.44,83
11.jpg,37.39,21
110.jpg,51.44,4
111.jpg,29.11,26
112.jpg,12.47,98
113.jpg,12.47,98
114.jpg,12.91,81
115.jpg,11.39,186
116.jpg,18.27,79
117.jpg,14.53,85
118.jpg,13.46,112
119.jpg,13.84,63
12.jpg,2792.27,1
120.jpg,13.23,126
121.jpg,13.33,128
122.jpg,13.33,128
123.jpg,12.27,72
124.jpg,6.87,274
125.jpg,14.48,23
126.jpg,41.65,14
127.jpg,20.69,38
128.jpg,12.41,41
129.jpg,10.61,97
13.png,14.58,38
130.jpg,11.68,210
131.jpg,54.34,11
132.jpg,9.05,168
133.jpg,22.62,35
134.jpg,20.63,48
135.jpg,17.1,64
136.jpg,33.65,6
137.jpg,29.18,7
138.jpg,13.34,78
139.jpg,21.57,23
14.jpg,8.83,1171
140.jpg,84.72,7
141.jpg,16.9,103
142.jpg,19.7,59
143.jpg,562.69,1
144.jpg,9.94,154
145.jpg,31.34,33
146.jpg,15.76,90
147.jpg,9.05,306
148.jpg,22.19,44
149.jpg,12.21,161
15.jpg,10.11,224
150.jpg,17.44,30
151.jpg,11.64,96
152.jpg,11.64,96
153.jpg,26.61,28
154.jpg,34.6,23
155.jpg,22.28,42
156.jpg,22.28,42
157.jpg,27.95,21
158.jpg,16.17,66
159.jpg,34.13,20
16.png,14.47,38
160.jpg,21.2,73
161.jpg,12.61,68
162.jpg,12.26,104
163.jpg,23.5,35
164.jpg,10.91,185
165.jpg,10.56,134
166.jpg,10.35,104
167.jpg,43.43,15
168.jpg,12.68,114
169.jpg,26.84,24
17.jpg,29.51,47
170.jpg,10.2,88
171.jpg,33.75,33
172.jpg,13.9,142
173.jpg,11.15,203
174.jpg,12.47,89
175.jpg,8.8,8
176.jpg,12.16,37
177.jpg,16.92,19
178.jpg,11.9,22
179.jpg,13.81,61
18.jpg,8.18,90
180.jpg,11.29,100
181.jpg,12.06,154
182.jpg,14.05,114
183.jpg,26.95,25
184.jpg,20.89,75
185.jpg,23.13,52
186.jpg,9.68,105
187.jpg,27.28,37
188.jpg,11.67,182
189.jpg,11.67,182
19.jpg,17.68,41
190.jpg,46.92,14
191.jpg,10.33,91
192.jpg,16.41,46
193.jpg,21.32,59
194.jpg,14.81,72
195.jpg,15.81,62
196.jpg,13.16,135
197.jpg,32.65,20
198.jpg,7.88,184
199.jpg,11.3,133
2.jpg,15.95,72
20.jpg,9.94,469
200.jpg,543.57,1
201.jpg,10.01,221
202.jpg,14.11,89
203.jpg,15.79,99
204.jpg,8.61,25
205.jpg,16.15,101
206.jpg,17.84,139
207.jpg,9.04,344
208.jpg,15.07,98
209.jpg,67.11,11
21.jpeg,19.31,133
210.jpg,16.27,82
211.jpg,25.05,37
212.jpg,15.31,74
213.jpg,16.03,95
214.jpg,13.06,128
215.jpg,11.76,188
216.jpg,15.26,51
217.jpg,57.18,3
218.jpg,13.62,85
219.jpg,9.26,411
22.jpg,12.86,102
220.jpg,19.68,32
221.jpg,9.97,365
222.jpg,35.06,21
223.jpg,10.78,177
224.jpg,12.29,84
225.jpg,22.06,47
226.jpg,25.45,35
