filename,mean_grain_diameter_px,grain_count
00096180014947910921026.jpg,8.95,635
05819280015911796649727.jpg,960.93,1
09624110015898065506629.jpg,684.53,1
3-s2.0-B9780123838322000931-f90-01-9780123838322.jpg,34.25,17
3-s2.0-B9780123838322000931-f90-02-9780123838322.jpg,31.0,19
3-s2.0-B9780123838322000931-f90-03-9780123838322.jpg,221.19,2
3-s2.0-B9780128141243001023-f102-07-9780128141243.jpg,242.78,2
3-s2.0-B9780128205853000077-f07-18-9780128205853.jpg,165.9,2
3-s2.0-B9780128205853000077-f07-19-9780128205853.jpg,12.14,53
3-s2.0-B9780444639011000411-f41-10-9780444639011.jpg,51.83,8
3-s2.0-B9780444639011000411-f41-11-9780444639011.jpg,19.08,84
3-s2.0-B9780444639011000411-f41-12-9780444639011.jpg,19.83,95
amphibolite.jpg,33.68,9
gneiss.jpg,16.14,32
images(1).jpg,0,0
images(10).jpg,53.35,2
images(100).jpg,0,0
images(101).jpg,251.79,1
images(102).jpg,251.79,1
images(103).jpg,46.31,6
images(104).jpg,28.86,4
images(105).jpg,34.35,7
images(106).jpg,13.1,35
images(107).jpg,14.22,19
images(108).jpg,17.63,33
images(109).jpg,35.82,11
images(11).jpg,18.71,5
images(110).jpg,22.75,10
images(111).jpg,13.39,18
images(112).jpg,46.72,4
images(113).jpg,12.31,18
images(114).jpg,11.01,27
images(115).jpg,10.61,18
images(116).jpg,5.29,5
images(117).jpg,177.02,1
images(118).jpg,20.15,13
images(119).jpg,124.34,2
images(12).jpg,108.12,1
images(120).jpg,10.58,25
images(121).jpg,27.05,9
images(123).jpg,12.17,24
images(124).jpg,13.42,31
images(125).jpg,44.53,2
images(126).jpg,23.44,5
images(127).jpg,8.7,21
images(128).jpg,11.81,32
images(129).jpg,21.41,22
images(13).jpg,9.71,17
images(130).jpg,13.14,11
images(131).jpg,24.1,18
images(132).jpg,15.25,14
images(133).jpg,11.82,37
images(134).jpg,124.78,2
images(135).jpg,42.95,5
images(136).jpg,11.94,26
images(137).jpg,252.28,1
images(138).jpg,26.52,8
images(139).jpg,86.08,3
images(14).jpg,72.72,2
images(140).jpg,50.58,4
images(141).jpg,249.51,1
images(142).jpg,45.18,6
images(143).jpg,118.02,2
images(144).jpg,25.62,6
images(145).jpg,20.18,18
images(146).jpg,12.89,42
