filename,mean_grain_diameter_px,grain_count
0.jpg,13.88,171
1.jpg,12.35,105
10.jpg,27.31,18
100.jpg,11.98,154
101.jpg,141.22,4
102.jpg,16.7,90
103.jpg,24.08,36
104.jpg,242.14,1
105.jpg,17.93,58
106.jpg,34.72,19
107.jpg,49.11,13
108.jpg,11.78,138
109.jpg,12.94,108
11.jpg,10.88,21
110.jpg,11.6,73
111.jpg,21.6,52
112.jpg,16.41,87
113.jpg,15.17,120
114.jpg,14.37,62
115.jpg,188.96,3
116.jpg,26.53,22
117.jpg,45.46,12
118.jpg,18.88,49
119.jpg,23.11,23
12.jpg,7.6,794
120.jpg,18.34,69
121.jpg,91.44,7
122.jpg,176.24,3
123.jpg,0,0
124.jpg,64.39,14
125.jpg,116.47,5
126.jpg,16.75,38
127.jpg,23.74,32
128.jpg,18.05,46
129.jpg,7.28,324
13.jpg,25.37,44
130.jpg,9.41,7
131.jpg,6.01,18
132.jpg,9.08,291
133.jpg,147.53,4
134.jpg,16.91,77
135.jpg,35.35,22
136.jpg,12.61,75
137.jpg,19.21,71
138.jpg,17.8,103
139.jpg,220.34,3
14.jpg,901.57,1
140.jpg,78.56,7
141.jpg,11.73,44
142.jpg,0,0
143.jpg,562.69,1
144.jpg,5.2,45
145.jpg,18.12,58
146.jpg,12.87,156
147.jpg,14.14,88
148.jpg,21.7,66
149.jpg,36.63,14
150.jpg,205.19,3
151.jpg,13.75,133
152.jpg,10.81,93
153.jpg,59.0,22
154.jpg,17.52,77
155.jpg,19.94,30
156.jpg,28.6,21
157.jpg,523.3,1
158.jpg,28.73,26
159.jpg,115.84,5
16.jpg,43.12,22
160.jpg,36.02,23
161.jpg,11.94,58
162.jpg,197.9,2
163.jpg,140.07,4
164.jpg,17.84,66
165.jpg,17.84,66
166.jpg,56.59,11
167.jpg,562.67,1
168.jpg,29.8,21
169.jpg,30.06,60
17.jpg,144.72,4
170.jpg,16.02,90
171.jpg,24.46,42
172.jpg,10.29,165
173.jpg,19.83,39
174.jpg,20.39,34
175.jpg,40.29,23
176.jpg,26.97,27
177.jpg,42.81,13
178.jpg,6.61,70
179.jpg,10.55,71
18.jpg,12.38,148
180.jpg,232.11,2
181.jpg,5.82,10
182.jpg,5.54,14
183.jpg,6.35,69
184.jpg,14.53,63
185.jpg,23.56,30
186.jpg,52.72,11
187.jpg,75.24,7
188.jpg,24.48,32
189.jpg,11.13,35
19.jpg,12.14,134
190.jpg,116.42,5
191.jpg,12.37,148
192.jpg,15.86,105
193.jpg,11.44,127
194.jpg,14.02,118
195.jpg,562.0,1
196.jpg,15.29,68
197.jpg,27.17,37
198.jpg,31.11,20
199.jpg,12.64,103
2.jpg,18.57,54
