filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
1.jpg,35.36,9,"brown, white, white","brown: 37.9%, white: 27.9%, white: 15.3%"
10.jpg,22.15,43,"navy, white, gray","navy: 28.4%, white: 24.3%, gray: 19.3%"
11.jpg,519.14,3,"white, white, gray","white: 47.1%, white: 23.3%, gray: 15.0%"
12.jpg,26.87,162,"white, gray, gray","white: 43.9%, gray: 20.1%, gray: 15.6%"
13.jpg,51.18,6,"white, black, gray","white: 61.0%, black: 14.4%, gray: 12.7%"
14.jpg,1094.08,1,"black, gray, brown","black: 47.4%, gray: 18.3%, brown: 15.9%"
148248735-grey-rock-pile-isolated-on-white-background.jpg,13.16,20,"white, gray, gray","white: 84.5%, gray: 4.8%, gray: 4.7%"
15.jpg,14.45,21,"white, black, gray","white: 77.2%, black: 8.6%, gray: 6.5%"
16.jpg,122.13,10,"white, black, gray","white: 64.9%, black: 21.2%, gray: 8.8%"
17.jpg,291.35,1,"white, black, gray","white: 38.2%, black: 18.5%, gray: 18.5%"
18.jpg,20.49,27,"white, gray, gray","white: 52.3%, gray: 15.9%, gray: 12.8%"
1850214285_8a641c7410_m.jpg,10.82,60,"gray, gray, gray","gray: 33.0%, gray: 24.3%, gray: 23.0%"
19.jpg,46.9,7,"white, black, gray","white: 33.9%, black: 21.5%, gray: 18.0%"
2.jpg,139.11,5,"gray, white, gray","gray: 30.7%, white: 28.3%, gray: 18.4%"
20.jpg,23.27,66,"gray, gray, gray","gray: 30.1%, gray: 27.4%, gray: 17.6%"
20190118_165618.jpg,18.07,90,"brown, gray, white","brown: 32.8%, gray: 26.5%, white: 15.0%"
21.jpg,153.0,3,"white, gray, gray","white: 45.2%, gray: 17.8%, gray: 14.0%"
22.jpg,583.32,1,"black, white, black","black: 30.2%, white: 29.3%, black: 26.1%"
23.jpg,84.7,11,"white, black, gray","white: 73.5%, black: 10.3%, gray: 9.1%"
24.jpg,95.46,6,"gray, white, gray","gray: 29.9%, white: 26.9%, gray: 19.6%"
240_F_96439435_ccm6M1GN74GBAsg7e4PcEuuJhLaobBM4.jpg,106.2,3,"white, brown, gray","white: 70.7%, brown: 11.8%, gray: 9.6%"
25.jpg,549.09,2,"white, black, brown","white: 71.8%, black: 10.1%, brown: 9.1%"
26.jpg,18.06,371,"gray, gray, brown","gray: 30.4%, gray: 25.1%, brown: 20.9%"
268-2689908_cut-content-subnautica-wiki-fandom-powered-by-wikia.png,741.08,1,"whitesmoke, black, black","whitesmoke: 34.7%, black: 25.0%, black: 17.6%"
