filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
0.jpg,911.62,1,"white, gray, gray","white: 48.8%, gray: 24.8%, gray: 10.8%"
1.jpg,17.48,19,"gray, gray, black","gray: 28.9%, gray: 24.7%, black: 19.9%"
10.jpg,457.84,1,"black, black, black","black: 41.2%, black: 25.8%, black: 19.3%"
100.jpg,378.38,1,"black, black, navy","black: 59.0%, black: 18.4%, navy: 13.7%"
101.jpg,350.73,1,"black, black, black","black: 42.4%, black: 23.6%, black: 17.8%"
102.jpg,53.41,7,"black, black, gray","black: 34.7%, black: 22.2%, gray: 18.5%"
103.jpg,383.83,1,"black, black, black","black: 51.2%, black: 24.3%, black: 12.4%"
104.jpg,24.71,16,"black, gray, black","black: 24.4%, gray: 21.7%, black: 19.5%"
105.jpg,345.64,1,"black, gray, black","black: 37.7%, gray: 23.8%, black: 20.3%"
106.jpg,116.38,3,"black, black, gray","black: 44.6%, black: 19.0%, gray: 13.3%"
107.jpg,322.17,1,"black, black, gray","black: 37.1%, black: 20.1%, gray: 17.1%"
108.jpg,52.29,7,"navy, black, gray","navy: 34.5%, black: 30.4%, gray: 16.4%"
109.jpg,352.37,1,"black, black, gray","black: 36.8%, black: 21.9%, gray: 20.6%"
11.jpg,25.93,28,"gray, gray, black","gray: 23.8%, gray: 22.0%, black: 21.8%"
110.jpg,61.1,8,"black, black, gray","black: 33.4%, black: 30.8%, gray: 12.3%"
111.jpg,422.29,1,"black, black, brown","black: 67.3%, black: 15.3%, brown: 7.4%"
112.jpg,384.93,1,"black, black, brown","black: 43.4%, black: 26.7%, brown: 18.4%"
113.jpg,155.98,2,"black, brown, gray","black: 38.9%, brown: 21.9%, gray: 20.3%"
114.jpg,63.82,5,"black, navy, gray","black: 33.8%, navy: 23.9%, gray: 18.7%"
115.jpg,45.15,8,"gray, gray, white","gray: 36.2%, gray: 26.4%, white: 22.1%"
116.jpg,291.79,1,"black, gray, black","black: 29.0%, gray: 25.8%, black: 22.8%"
117.jpg,128.43,2,"brown, white, gray","brown: 29.8%, white: 22.9%, gray: 19.4%"
118.jpg,305.36,1,"black, black, gray","black: 31.2%, black: 29.1%, gray: 23.6%"
119.jpg,72.57,13,"white, gray, gray","white: 45.7%, gray: 21.9%, gray: 19.1%"
12.jpeg,279.76,3,"black, black, gray","black: 30.9%, black: 28.5%, gray: 22.1%"
120.jpg,169.77,1,"white, black, gray","white: 58.5%, black: 23.3%, gray: 8.0%"
121.jpg,86.72,4,"white, black, black","white: 62.5%, black: 18.4%, black: 12.4%"
122.jpg,199.68,1,"white, brown, black","white: 59.2%, brown: 18.2%, black: 16.2%"
123.jpg,112.56,2,"white, brown, black","white: 55.2%, brown: 17.1%, black: 16.9%"
124.jpg,197.89,1,"white, black, brown","white: 58.4%, black: 25.8%, brown: 9.1%"
125.jpg,85.23,6,"white, black, black","white: 62.2%, black: 16.7%, black: 14.2%"
126.jpg,217.58,1,"white, brown, black","white: 63.4%, brown: 13.9%, black: 10.7%"
127.jpg,256.0,1,"white, black, black","white: 54.9%, black: 17.9%, black: 11.8%"
13.jpg,70.54,4,"black, black, gray","black: 29.8%, black: 23.9%, gray: 22.4%"
130.jpg,126.17,2,"white, brown, gray","white: 62.5%, brown: 14.5%, gray: 10.1%"
131.jpg,540.37,1,"black, navy, navy","black: 32.7%, navy: 27.7%, navy: 24.1%"
132.jpg,776.46,3,"black, black, gray","black: 57.7%, black: 17.5%, gray: 9.7%"
133.jpg,233.67,1,"white, black, black","white: 51.8%, black: 26.4%, black: 16.7%"
134.jpg,331.08,1,"black, black, gray","black: 34.9%, black: 31.5%, gray: 22.1%"
135.jpg,175.41,2,"black, gray, gray","black: 35.9%, gray: 19.4%, gray: 18.0%"
136.jpg,187.06,13,"black, black, navy","black: 32.5%, black: 23.6%, navy: 20.1%"
137.jpg,364.18,1,"black, gray, black","black: 29.7%, gray: 26.7%, black: 21.6%"
138.jpg,45.66,30,"black, black, gray","black: 34.0%, black: 21.2%, gray: 18.0%"
139.jpg,88.63,14,"black, black, gray","black: 35.0%, black: 22.9%, gray: 21.5%"
14.png,60.57,11,"white, navy, black","white: 42.8%, navy: 24.0%, black: 16.3%"
140.jpg,253.53,3,"black, black, gray","black: 35.1%, black: 28.2%, gray: 21.1%"
141.png,308.88,3,"gray, black, black","gray: 51.1%, black: 21.8%, black: 11.6%"
142.jpg,28.7,25,"white, black, black","white: 71.3%, black: 15.0%, black: 7.2%"
143.jpg,67.18,8,"white, gray, gray","white: 75.1%, gray: 8.5%, gray: 8.2%"
144.jpg,198.13,2,"white, gray, gray","white: 45.3%, gray: 21.1%, gray: 15.0%"
145.jpg,104.18,4,"white, black, black","white: 52.8%, black: 20.8%, black: 19.0%"
146.jpg,32.68,20,"white, black, gray","white: 49.2%, black: 19.1%, gray: 17.6%"
147.jpg,193.92,4,"black, black, gray","black: 35.7%, black: 23.4%, gray: 20.9%"
148.jpg,473.65,1,"black, black, black","black: 36.8%, black: 25.8%, black: 24.3%"
149.jpg,234.36,1,"black, black, black","black: 41.4%, black: 32.3%, black: 19.2%"
15.jpg,352.54,1,"black, black, gray","black: 48.0%, black: 18.8%, gray: 16.6%"
150.jpg,64.3,8,"white, brown, gray","white: 75.1%, brown: 8.5%, gray: 7.6%"
151.jpg,383.14,1,"gray, navy, black","gray: 35.7%, navy: 32.0%, black: 15.1%"
152.jpg,23.38,22,"gray, gray, gray","gray: 29.9%, gray: 25.7%, gray: 22.4%"
153.jpg,305.84,2,"black, black, gray","black: 54.7%, black: 15.4%, gray: 13.7%"
154.jpg,248.9,1,"black, black, black","black: 34.0%, black: 32.2%, black: 23.5%"
155.jpg,74.76,5,"gray, gray, gray","gray: 24.9%, gray: 22.0%, gray: 20.4%"
156.jpg,34.14,16,"black, gray, gray","black: 25.1%, gray: 23.0%, gray: 21.1%"
157.jpg,266.28,1,"white, black, gray","white: 35.5%, black: 27.0%, gray: 17.9%"
158.jpg,73.58,4,"white, black, black","white: 29.5%, black: 26.3%, black: 18.9%"
159.jpg,287.48,1,"brown, black, black","brown: 62.3%, black: 21.6%, black: 11.1%"
16.jpg,158.21,1,"white, gray, gray","white: 74.9%, gray: 8.2%, gray: 8.0%"
160.jpg,13.15,954,"black, black, gray","black: 29.5%, black: 27.2%, gray: 23.1%"
161.png,160.35,2,"black, black, gray","black: 29.8%, black: 22.5%, gray: 19.9%"
162.jpeg,160.92,1,"white, black, black","white: 55.3%, black: 19.8%, black: 13.3%"
163.jpeg,250.66,1,"black, black, gray","black: 50.8%, black: 16.7%, gray: 14.4%"
164.jpeg,20.31,15,"navy, white, gray","navy: 26.3%, white: 24.6%, gray: 20.7%"
165.jpeg,29.12,13,"gray, black, black","gray: 33.7%, black: 30.9%, black: 15.7%"
166.jpeg,250.03,1,"black, black, gray","black: 34.2%, black: 24.1%, gray: 20.8%"
167.jpeg,248.5,1,"black, black, gray","black: 32.1%, black: 23.5%, gray: 21.6%"
168.jpeg,30.42,9,"black, white, brown","black: 26.4%, white: 22.4%, brown: 20.7%"
169.jpeg,251.71,1,"black, black, navy","black: 30.2%, black: 23.8%, navy: 21.1%"
17.jpg,176.77,2,"black, black, brown","black: 35.5%, black: 22.3%, brown: 16.6%"
170.jpeg,141.63,1,"white, black, black","white: 67.5%, black: 15.2%, black: 13.2%"
171.jpeg,102.58,2,"white, gray, black","white: 32.2%, gray: 27.6%, black: 18.7%"
172.jpeg,110.39,1,"black, black, gray","black: 29.9%, black: 28.8%, gray: 22.4%"
173.jpeg,240.83,1,"black, black, gray","black: 34.9%, black: 28.6%, gray: 20.9%"
174.jpeg,250.14,1,"black, gray, gray","black: 23.9%, gray: 22.9%, gray: 21.1%"
175.jpeg,113.53,2,"black, navy, gray","black: 25.5%, navy: 22.4%, gray: 21.5%"
176.jpeg,121.43,1,"white, brown, gray","white: 74.7%, brown: 9.0%, gray: 7.8%"
177.jpeg,26.72,10,"black, black, gray","black: 24.5%, black: 21.1%, gray: 21.1%"
178.jpeg,116.67,2,"black, black, gray","black: 33.3%, black: 25.6%, gray: 16.8%"
179.jpeg,119.71,2,"black, black, gray","black: 33.1%, black: 23.4%, gray: 20.5%"
18.jpg,287.7,1,"black, black, black","black: 26.2%, black: 25.4%, black: 23.2%"
180.jpeg,77.28,1,"white, black, brown","white: 50.6%, black: 18.7%, brown: 15.8%"
181.jpeg,79.37,1,"white, black, black","white: 47.6%, black: 22.5%, black: 21.9%"
182.jpg,82.23,2,"white, gray, gray","white: 54.9%, gray: 16.7%, gray: 13.4%"
183.jpg,241.61,1,"black, black, gray","black: 34.8%, black: 30.0%, gray: 19.1%"
184.jpg,247.43,1,"gray, black, black","gray: 26.8%, black: 22.2%, black: 21.5%"
185.jpg,251.45,1,"black, black, black","black: 40.0%, black: 27.3%, black: 19.0%"
186.jpg,164.26,1,"white, black, black","white: 53.3%, black: 19.7%, black: 15.9%"
187.jpg,126.93,2,"black, black, gray","black: 28.2%, black: 22.7%, gray: 21.1%"
188.jpg,242.91,1,"gray, black, black","gray: 26.1%, black: 26.0%, black: 25.5%"
189.jpg,139.99,2,"black, gray, black","black: 26.9%, gray: 25.7%, black: 24.8%"
19.jpg,87.53,4,"gray, black, gray","gray: 28.2%, black: 22.9%, gray: 19.1%"
190.jpg,250.44,1,"gray, black, gray","gray: 25.4%, black: 23.2%, gray: 21.2%"
191.jpg,252.12,1,"black, black, black","black: 63.2%, black: 17.8%, black: 9.7%"
192.jpg,168.11,1,"white, black, black","white: 52.8%, black: 24.1%, black: 11.3%"
193.jpg,121.79,1,"white, gray, gray","white: 75.0%, gray: 8.7%, gray: 8.6%"
194.jpg,111.3,1,"black, black, gray","black: 46.0%, black: 20.1%, gray: 17.5%"
195.jpg,80.13,3,"brown, black, gray","brown: 25.4%, black: 25.0%, gray: 21.2%"
196.jpg,251.51,1,"black, brown, black","black: 28.0%, brown: 26.0%, black: 24.5%"
197.jpg,191.51,1,"white, brown, black","white: 35.0%, brown: 27.1%, black: 27.0%"
198.jpg,251.45,1,"gray, black, black","gray: 29.1%, black: 25.2%, black: 22.1%"
199.jpg,251.67,1,"black, gray, black","black: 27.5%, gray: 25.8%, black: 22.6%"
2.jpg,62.3,20,"black, black, navy","black: 41.6%, black: 21.7%, navy: 18.6%"
20.jpg,306.58,1,"gray, navy, gray","gray: 29.3%, navy: 26.6%, gray: 20.0%"
200.jpg,251.6,1,"black, black, brown","black: 43.3%, black: 31.4%, brown: 15.4%"
201.jpg,250.5,1,"black, black, gray","black: 28.5%, black: 27.0%, gray: 26.0%"
202.jpg,85.72,3,"black, black, gray","black: 29.6%, black: 20.4%, gray: 19.8%"
203.jpg,113.81,2,"black, maroon, gray","black: 35.6%, maroon: 28.1%, gray: 12.5%"
204.jpg,128.88,2,"gray, black, gray","gray: 27.0%, black: 22.2%, gray: 22.1%"
205.jpg,95.31,2,"black, white, white","black: 46.6%, white: 24.7%, white: 19.8%"
206.jpg,52.18,5,"black, gray, white","black: 42.9%, gray: 23.0%, white: 18.9%"
207.jpg,250.31,1,"black, black, gray","black: 45.0%, black: 21.2%, gray: 15.3%"
208.jpg,44.45,2,"white, navy, black","white: 49.6%, navy: 27.9%, black: 17.6%"
209.jpg,21.02,16,"gray, gray, gray","gray: 31.4%, gray: 27.5%, gray: 17.7%"
