filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
1.jpg,20.35,18,"white, gray, brown","white: 31.4%, gray: 23.9%, brown: 16.7%"
10.jpg,7.22,111,"gray, gray, gray","gray: 36.9%, gray: 27.4%, gray: 19.4%"
100.jpg,81.09,6,"brown, gray, maroon","brown: 27.1%, gray: 26.0%, maroon: 21.2%"
11.jpg,8.54,113,"white, gray, white","white: 32.5%, gray: 21.6%, white: 21.4%"
12.jpg,97.53,7,"white, gray, gray","white: 48.1%, gray: 18.5%, gray: 14.7%"
13.jpg,23.67,68,"gray, gray, black","gray: 25.1%, gray: 22.1%, black: 19.1%"
14.jpg,14.6,125,"black, gray, gray","black: 24.9%, gray: 22.8%, gray: 22.2%"
15.jpg,11.53,137,"gray, gray, white","gray: 24.5%, gray: 19.9%, white: 19.4%"
16.jpg,11.25,175,"white, gray, gray","white: 58.7%, gray: 13.1%, gray: 12.6%"
17.jpg,9.24,103,"white, white, white","white: 43.7%, white: 22.5%, white: 17.1%"
18.jpg,11.92,50,"white, gray, gray","white: 79.3%, gray: 8.0%, gray: 5.7%"
19.jpg,33.76,16,"gray, gray, gray","gray: 27.3%, gray: 25.1%, gray: 20.4%"
2.jpg,7.22,111,"gray, gray, gray","gray: 36.9%, gray: 27.4%, gray: 19.4%"
20.jpg,20.85,24,"gray, gray, white","gray: 29.6%, gray: 26.0%, white: 21.1%"
21.jpg,16.39,44,"gray, white, gray","gray: 26.0%, white: 23.6%, gray: 22.2%"
22.jpg,16.03,125,"gray, gray, white","gray: 25.2%, gray: 24.3%, white: 22.2%"
23.jpeg,113.26,16,"black, gray, black","black: 25.3%, gray: 24.0%, black: 22.7%"
24.png,1110.29,1,"black, gray, brown","black: 54.3%, gray: 13.5%, brown: 13.2%"
25.png,1155.57,1,"black, gray, gray","black: 60.9%, gray: 15.1%, gray: 11.5%"
26.png,17.45,39,"gray, gray, white","gray: 27.4%, gray: 22.0%, white: 19.8%"
27.jpeg,18.14,64,"gray, gray, gray","gray: 27.6%, gray: 26.2%, gray: 17.4%"
28.jpg,23.54,142,"white, gray, gray","white: 83.0%, gray: 5.5%, gray: 4.6%"
29.jpg,15.74,63,"white, gray, gray","white: 62.3%, gray: 11.1%, gray: 10.6%"
3.jpg,9.96,119,"gray, gray, gray","gray: 35.0%, gray: 26.1%, gray: 23.7%"
30.jpg,10.14,174,"white, gray, gray","white: 55.0%, gray: 13.6%, gray: 13.4%"
31.jpg,11.36,2244,"white, white, black","white: 36.1%, white: 18.2%, black: 16.1%"
32.jpg,15.48,33,"white, white, gray","white: 39.8%, white: 25.2%, gray: 15.1%"
33.jpg,286.29,2,"black, gray, black","black: 24.0%, gray: 24.0%, black: 21.8%"
34.JPEG,14.39,68,"gray, gray, gray","gray: 28.6%, gray: 28.1%, gray: 19.7%"
35.jpg,18.32,97,"black, brown, gray","black: 31.6%, brown: 21.4%, gray: 18.6%"
36.JPEG,10.67,72,"gray, gray, gray","gray: 30.0%, gray: 26.4%, gray: 23.5%"
37.jpg,19.45,99,"gray, gray, black","gray: 27.0%, gray: 23.4%, black: 20.4%"
38.jpg,10.45,209,"gray, gray, white","gray: 33.6%, gray: 19.7%, white: 17.8%"
39.jpg,12.92,681,"gray, gray, gray","gray: 39.8%, gray: 24.2%, gray: 19.2%"
4.jpg,13.97,60,"gray, gray, white","gray: 32.4%, gray: 31.1%, white: 14.2%"
40.JPEG,15.76,65,"gray, gray, gray","gray: 33.5%, gray: 26.1%, gray: 21.5%"
41.jpg,208.64,1,"brown, gray, white","brown: 30.2%, gray: 25.2%, white: 24.8%"
42.jpg,11.17,982,"gray, gray, gray","gray: 31.0%, gray: 25.5%, gray: 19.8%"
43.jpg,10.85,784,"white, gray, gray","white: 38.0%, gray: 18.0%, gray: 17.4%"
44.jpg,9.16,92,"white, white, gray","white: 41.1%, white: 21.6%, gray: 16.5%"
45.jpg,10.91,196,"white, gray, gray","white: 32.4%, gray: 23.0%, gray: 20.2%"
46.jpg,266.46,1,"black, brown, gray","black: 38.4%, brown: 28.2%, gray: 18.2%"
47.jpg,16.5,99,"white, gray, brown","white: 31.5%, gray: 21.7%, brown: 19.3%"
48.jpg,11.92,91,"gray, gray, gray","gray: 27.1%, gray: 26.3%, gray: 20.9%"
49.jpg,13.09,380,"white, gray, gray","white: 58.0%, gray: 14.5%, gray: 13.2%"
5.jpg,12.84,204,"white, white, gray","white: 54.8%, white: 16.2%, gray: 14.2%"
50.jpg,15.47,61,"gray, gray, gray","gray: 29.0%, gray: 22.2%, gray: 19.3%"
51.jpg,14.63,111,"white, brown, black","white: 33.7%, brown: 19.5%, black: 17.5%"
52.jpg,11.02,159,"gray, gray, black","gray: 25.6%, gray: 23.0%, black: 21.6%"
53.jpg,158.69,6,"black, brown, gray","black: 29.8%, brown: 20.2%, gray: 20.1%"
54.jpg,7.12,979,"gray, brown, gray","gray: 26.2%, brown: 24.0%, gray: 22.3%"
55.jpg,10.33,26,"gray, gray, gray","gray: 32.8%, gray: 31.3%, gray: 21.8%"
56.jpg,20.22,47,"gray, white, gray","gray: 24.5%, white: 24.3%, gray: 22.0%"
57.jpg,19.31,41,"gray, gray, white","gray: 34.1%, gray: 26.2%, white: 25.0%"
58.png,21.72,142,"black, brown, gray","black: 26.3%, brown: 25.6%, gray: 17.6%"
59.jpg,12.7,60,"brown, gray, gray","brown: 28.2%, gray: 23.1%, gray: 20.9%"
6.jpg,6.42,1405,"white, gray, white","white: 32.7%, gray: 24.9%, white: 23.6%"
60.jpg,11.69,69,"gray, black, gray","gray: 23.3%, black: 22.3%, gray: 19.4%"
61.jpg,77.9,3,"gray, gray, black","gray: 29.7%, gray: 22.9%, black: 18.6%"
62.jpg,13.0,77,"white, gray, gray","white: 30.4%, gray: 24.4%, gray: 24.0%"
63.jpg,22.97,98,"gray, black, white","gray: 25.8%, black: 21.6%, white: 20.2%"
64.JPEG,33.87,10,"gray, darkgreen, gray","gray: 34.8%, darkgreen: 32.1%, gray: 20.0%"
65.jpg,20.85,24,"gray, gray, white","gray: 29.6%, gray: 26.0%, white: 21.1%"
66.jpg,15.55,187,"black, gray, white","black: 27.8%, gray: 24.9%, white: 20.8%"
67.jpg,172.55,2,"white, brown, gray","white: 29.3%, brown: 25.2%, gray: 20.1%"
68.jpg,15.13,30,"gray, white, gray","gray: 33.5%, white: 23.3%, gray: 20.0%"
69.png,12.58,160,"white, white, maroon","white: 26.1%, white: 25.7%, maroon: 20.4%"
7.jpg,12.52,109,"gray, gray, gray","gray: 31.6%, gray: 25.3%, gray: 21.1%"
70.jpg,22.05,80,"gray, gray, gray","gray: 25.1%, gray: 23.9%, gray: 21.1%"
71.jpg,10.88,1047,"gray, white, gray","gray: 27.1%, white: 21.7%, gray: 20.4%"
72.jpg,11.29,786,"white, gray, gray","white: 32.4%, gray: 22.0%, gray: 19.0%"
73.JPEG,15.57,40,"white, black, gray","white: 49.2%, black: 14.7%, gray: 12.7%"
74.JPEG,22.53,31,"white, black, gray","white: 31.3%, black: 19.8%, gray: 19.1%"
