filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
0.jpg,10.24,251,"white, gray, gray","white: 32.4%, gray: 24.8%, gray: 22.6%"
1.jpg,8.21,264,"white, gray, gray","white: 32.8%, gray: 23.8%, gray: 21.1%"
10.jpg,11.14,64,"gray, white, gray","gray: 34.2%, white: 29.4%, gray: 22.1%"
100.jpeg,11.98,169,"white, gray, gray","white: 38.2%, gray: 29.0%, gray: 16.4%"
105.jpg,11.07,209,"gray, gray, white","gray: 28.0%, gray: 22.4%, white: 18.9%"
106.jpg,13.34,98,"gray, gray, brown","gray: 26.6%, gray: 24.2%, brown: 17.7%"
107.jpg,16.94,62,"gray, gray, black","gray: 22.4%, gray: 21.6%, black: 21.4%"
108.jpg,189.26,3,"black, black, gray","black: 44.9%, black: 16.3%, gray: 15.8%"
109.jpg,9.44,83,"white, white, gray","white: 32.4%, white: 30.8%, gray: 21.8%"
11.jpg,37.39,21,"gray, gray, black","gray: 27.4%, gray: 22.3%, black: 21.9%"
110.jpg,51.44,4,"white, gray, white","white: 73.1%, gray: 11.5%, white: 6.8%"
111.jpg,29.11,26,"black, gray, gray","black: 25.6%, gray: 25.5%, gray: 19.7%"
112.jpg,12.47,98,"gray, gray, white","gray: 28.5%, gray: 27.0%, white: 21.9%"
113.jpg,12.47,98,"gray, gray, white","gray: 28.5%, gray: 27.0%, white: 21.9%"
114.jpg,12.91,81,"white, gray, gray","white: 39.3%, gray: 22.7%, gray: 19.7%"
115.jpg,11.39,186,"gray, white, gray","gray: 30.0%, white: 29.4%, gray: 17.8%"
116.jpg,18.27,79,"gray, gray, gray","gray: 32.9%, gray: 29.9%, gray: 24.3%"
117.jpg,14.53,85,"gray, gray, white","gray: 32.0%, gray: 25.4%, white: 18.6%"
118.jpg,13.46,112,"gray, gray, white","gray: 32.5%, gray: 26.6%, white: 17.2%"
119.jpg,13.84,63,"white, gray, gray","white: 60.0%, gray: 14.4%, gray: 12.0%"
12.jpg,2792.27,1,"black, gray, gray","black: 39.9%, gray: 21.3%, gray: 19.7%"
120.jpg,13.23,126,"white, gray, gray","white: 28.3%, gray: 23.3%, gray: 21.4%"
121.jpg,13.33,128,"white, gray, gray","white: 29.5%, gray: 26.6%, gray: 19.2%"
122.jpg,13.33,128,"white, gray, gray","white: 29.5%, gray: 26.6%, gray: 19.2%"
123.jpg,12.27,72,"white, gray, maroon","white: 40.5%, gray: 20.6%, maroon: 13.9%"
124.jpg,6.87,274,"gray, gray, white","gray: 28.9%, gray: 25.9%, white: 23.8%"
125.jpg,14.48,23,"white, gray, gray","white: 80.8%, gray: 8.0%, gray: 5.4%"
126.jpg,41.65,14,"darkgreen, gray, white","darkgreen: 23.8%, gray: 21.3%, white: 20.8%"
127.jpg,20.69,38,"gray, white, gray","gray: 32.5%, white: 29.5%, gray: 23.1%"
128.jpg,12.41,41,"white, gray, gray","white: 63.7%, gray: 15.1%, gray: 12.0%"
129.jpg,10.61,97,"white, gray, gray","white: 34.0%, gray: 27.5%, gray: 20.7%"
13.png,14.58,38,"white, gray, gray","white: 53.8%, gray: 15.6%, gray: 14.7%"
130.jpg,11.68,210,"gray, gray, gray","gray: 31.2%, gray: 28.3%, gray: 16.6%"
131.jpg,54.34,11,"black, brown, gray","black: 24.5%, brown: 20.9%, gray: 20.1%"
132.jpg,9.05,168,"gray, white, gray","gray: 40.6%, white: 28.4%, gray: 17.6%"
133.jpg,22.62,35,"gray, gray, brown","gray: 25.3%, gray: 24.2%, brown: 20.6%"
134.jpg,20.63,48,"white, white, gray","white: 48.2%, white: 24.9%, gray: 12.4%"
135.jpg,17.1,64,"white, white, gray","white: 49.4%, white: 23.3%, gray: 12.6%"
136.jpg,33.65,6,"gray, gray, white","gray: 58.0%, gray: 27.8%, white: 7.6%"
137.jpg,29.18,7,"gray, gray, white","gray: 77.3%, gray: 14.6%, white: 4.1%"
138.jpg,13.34,78,"gray, gray, white","gray: 30.0%, gray: 24.0%, white: 22.5%"
139.jpg,21.57,23,"white, yellow, gray","white: 32.0%, yellow: 25.2%, gray: 18.6%"
14.jpg,8.83,1171,"white, gray, gray","white: 42.4%, gray: 22.1%, gray: 18.7%"
140.jpg,84.72,7,"gray, gray, black","gray: 24.8%, gray: 23.7%, black: 19.1%"
141.jpg,16.9,103,"white, gray, gray","white: 34.0%, gray: 23.4%, gray: 18.0%"
142.jpg,19.7,59,"gray, gray, white","gray: 29.5%, gray: 27.0%, white: 24.0%"
143.jpg,562.69,1,"black, black, white","black: 71.7%, black: 11.3%, white: 7.8%"
144.jpg,9.94,154,"gray, white, brown","gray: 24.0%, white: 23.1%, brown: 17.9%"
145.jpg,31.34,33,"gray, gray, white","gray: 27.9%, gray: 25.1%, white: 23.6%"
146.jpg,15.76,90,"gray, gray, gray","gray: 30.8%, gray: 24.7%, gray: 18.4%"
147.jpg,9.05,306,"gray, gray, brown","gray: 36.1%, gray: 29.2%, brown: 17.0%"
148.jpg,22.19,44,"gray, gray, white","gray: 27.6%, gray: 23.9%, white: 23.6%"
149.jpg,12.21,161,"gray, white, gray","gray: 25.9%, white: 23.9%, gray: 23.3%"
15.jpg,10.11,224,"white, gray, gray","white: 46.6%, gray: 20.0%, gray: 16.5%"
150.jpg,17.44,30,"white, gray, gray","white: 28.4%, gray: 27.2%, gray: 22.7%"
151.jpg,11.64,96,"gray, gray, black","gray: 28.8%, gray: 21.4%, black: 19.3%"
152.jpg,11.64,96,"gray, gray, black","gray: 28.8%, gray: 21.4%, black: 19.3%"
153.jpg,26.61,28,"navy, gray, gray","navy: 25.6%, gray: 25.5%, gray: 24.0%"
154.jpg,34.6,23,"gray, gray, gray","gray: 25.1%, gray: 24.5%, gray: 20.5%"
155.jpg,22.28,42,"gray, gray, white","gray: 26.4%, gray: 26.0%, white: 21.0%"
156.jpg,22.28,42,"gray, gray, white","gray: 26.4%, gray: 26.0%, white: 21.0%"
157.jpg,27.95,21,"white, gray, gray","white: 24.3%, gray: 21.8%, gray: 21.7%"
158.jpg,16.17,66,"gray, white, gray","gray: 32.2%, white: 27.7%, gray: 21.1%"
159.jpg,34.13,20,"gray, gray, brown","gray: 25.2%, gray: 24.7%, brown: 20.4%"
16.png,14.47,38,"whitesmoke, gray, gray","whitesmoke: 70.9%, gray: 10.7%, gray: 7.1%"
160.jpg,21.2,73,"gray, white, gray","gray: 29.4%, white: 27.7%, gray: 20.9%"
161.jpg,12.61,68,"gray, gray, white","gray: 38.1%, gray: 27.3%, white: 17.8%"
162.jpg,12.26,104,"white, white, gray","white: 32.5%, white: 30.4%, gray: 14.4%"
163.jpg,23.5,35,"white, gray, gray","white: 37.2%, gray: 18.1%, gray: 16.1%"
164.jpg,10.91,185,"white, gray, white","white: 31.6%, gray: 23.1%, white: 19.9%"
165.jpg,10.56,134,"white, white, gray","white: 30.5%, white: 27.4%, gray: 22.4%"
166.jpg,10.35,104,"white, white, gray","white: 34.1%, white: 28.3%, gray: 21.9%"
167.jpg,43.43,15,"white, brown, gray","white: 49.4%, brown: 14.4%, gray: 14.3%"
168.jpg,12.68,114,"gray, gray, gray","gray: 30.5%, gray: 25.3%, gray: 22.5%"
169.jpg,26.84,24,"black, black, gray","black: 23.4%, black: 22.5%, gray: 19.0%"
17.jpg,29.51,47,"gray, gray, white","gray: 26.6%, gray: 21.3%, white: 20.1%"
170.jpg,10.2,88,"gray, white, gray","gray: 28.2%, white: 21.7%, gray: 21.4%"
171.jpg,33.75,33,"gray, gray, gray","gray: 39.6%, gray: 22.0%, gray: 19.5%"
172.jpg,13.9,142,"gray, gray, white","gray: 27.7%, gray: 23.5%, white: 19.9%"
173.jpg,11.15,203,"gray, white, gray","gray: 26.4%, white: 21.1%, gray: 19.6%"
174.jpg,12.47,89,"gray, gray, gray","gray: 28.4%, gray: 19.3%, gray: 19.1%"
175.jpg,8.8,8,"white, white, white","white: 56.1%, white: 18.2%, white: 16.3%"
