filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
1 (10).jpg,66.18,1,"white, white, white","white: 58.5%, white: 26.8%, white: 7.5%"
1 (11).jpg,9.33,44,"white, white, gray","white: 37.1%, white: 28.0%, gray: 17.4%"
1 (12).jpg,12.68,34,"gray, gray, gray","gray: 29.6%, gray: 29.5%, gray: 17.4%"
1 (13).jpg,24.18,3,"white, white, gray","white: 51.2%, white: 19.3%, gray: 12.8%"
1 (14).jpg,7.26,4,"white, gray, gray","white: 76.6%, gray: 10.0%, gray: 8.1%"
1 (15).jpg,15.66,28,"gray, gray, gray","gray: 25.3%, gray: 23.4%, gray: 21.1%"
1 (16).jpg,4.93,9,"white, gray, gray","white: 55.0%, gray: 14.0%, gray: 13.5%"
1 (17).jpg,9.88,10,"white, gray, white","white: 59.7%, gray: 14.6%, white: 11.0%"
1 (18).jpg,23.55,20,"gray, gray, gray","gray: 29.3%, gray: 26.1%, gray: 20.1%"
1 (19).jpg,18.1,12,"white, gray, gray","white: 49.8%, gray: 17.8%, gray: 15.5%"
1 (2).jpg,49.79,11,"gray, black, white","gray: 25.4%, black: 23.7%, white: 18.8%"
1 (20).jpg,8.87,7,"white, gray, white","white: 74.1%, gray: 11.3%, white: 7.1%"
1 (21).jpg,15.89,17,"gray, gray, white","gray: 31.8%, gray: 25.4%, white: 22.9%"
1 (22).jpg,26.79,15,"gray, gray, gray","gray: 36.9%, gray: 27.6%, gray: 15.3%"
1 (23).jpg,22.96,13,"white, white, gray","white: 30.0%, white: 28.3%, gray: 19.2%"
1 (24).jpg,22.59,9,"white, white, gray","white: 34.6%, white: 26.9%, gray: 14.4%"
1 (25).jpg,10.06,45,"white, white, gray","white: 28.5%, white: 26.9%, gray: 21.0%"
1 (26).jpg,28.57,8,"white, gray, white","white: 35.4%, gray: 20.8%, white: 18.0%"
1 (28).jpg,252.12,1,"gray, gray, gray","gray: 29.9%, gray: 28.9%, gray: 19.3%"
1 (29).jpg,6.81,12,"white, gray, gray","white: 53.6%, gray: 16.9%, gray: 14.9%"
1 (30).jpg,23.01,16,"black, gray, white","black: 26.8%, gray: 18.8%, white: 18.7%"
1 (31).jpg,18.88,15,"white, gray, gray","white: 29.2%, gray: 25.6%, gray: 20.8%"
1 (32).jpg,0,0,"white, white, gray","white: 36.6%, white: 26.0%, gray: 19.4%"
1 (33).jpg,25.15,4,"gray, gray, white","gray: 24.5%, gray: 23.0%, white: 21.9%"
1 (334).jpg,45.09,5,"white, black, brown","white: 34.4%, black: 19.6%, brown: 17.9%"
1 (335).jpg,15.99,22,"gray, gray, gray","gray: 24.3%, gray: 23.9%, gray: 22.3%"
1 (336).jpg,21.6,22,"gray, gray, gray","gray: 30.2%, gray: 25.7%, gray: 24.5%"
1 (337).jpg,0,0,"gray, gray, white","gray: 42.3%, gray: 27.5%, white: 16.5%"
1 (338).jpg,9.92,45,"gray, gray, gray","gray: 43.1%, gray: 35.3%, gray: 13.3%"
1 (339).jpg,37.66,7,"white, gray, gray","white: 38.8%, gray: 24.8%, gray: 13.8%"
1 (34).jpg,8.7,21,"white, gray, white","white: 48.6%, gray: 14.3%, white: 13.9%"
1 (340).jpg,25.89,11,"gray, gray, gray","gray: 28.1%, gray: 26.7%, gray: 17.5%"
1 (341).jpg,8.9,57,"gray, gray, white","gray: 31.0%, gray: 24.7%, white: 21.8%"
1 (342).jpg,0,0,"white, white, white","white: 62.5%, white: 13.4%, white: 13.2%"
1 (343).jpg,251.77,1,"black, gray, gray","black: 37.8%, gray: 25.8%, gray: 22.1%"
1 (345).jpg,11.81,15,"gray, orange, white","gray: 30.4%, orange: 26.1%, white: 19.6%"
1 (346).jpg,108.14,1,"gray, gray, black","gray: 25.5%, gray: 21.8%, black: 20.2%"
1 (347).jpg,8.76,8,"white, white, white","white: 42.6%, white: 32.0%, white: 12.9%"
1 (348).jpg,251.98,1,"black, black, gray","black: 25.6%, black: 25.5%, gray: 22.0%"
1 (349).jpg,139.98,1,"white, gray, white","white: 77.2%, gray: 6.5%, white: 6.3%"
1 (35).jpg,251.8,1,"black, white, white","black: 36.4%, white: 29.6%, white: 23.2%"
1 (350).jpg,10.67,31,"white, white, gray","white: 47.3%, white: 26.6%, gray: 14.0%"
1 (351).jpg,28.34,2,"gray, white, white","gray: 40.3%, white: 19.9%, white: 18.9%"
1 (352).jpg,14.83,17,"gray, gray, black","gray: 31.1%, gray: 20.0%, black: 19.0%"
1 (353).jpg,9.75,16,"white, gray, white","white: 40.1%, gray: 22.6%, white: 17.9%"
1 (354).jpg,23.82,14,"gray, gray, white","gray: 26.7%, gray: 23.8%, white: 19.1%"
1 (355).jpg,164.64,1,"white, white, navy","white: 28.7%, white: 27.6%, navy: 17.6%"
1 (356).jpg,11.07,25,"gray, gray, gray","gray: 28.7%, gray: 26.4%, gray: 20.9%"
1 (357).jpg,13.01,25,"gray, gray, gray","gray: 31.8%, gray: 22.9%, gray: 20.5%"
1 (358).jpg,7.88,84,"white, white, gray","white: 29.8%, white: 29.3%, gray: 19.6%"
1 (36).jpg,16.92,22,"gray, gray, gray","gray: 36.3%, gray: 26.4%, gray: 19.2%"
1 (361).jpg,12.36,5,"gray, white, white","gray: 28.5%, white: 26.8%, white: 20.0%"
1 (362).jpg,0,0,"white, white, white","white: 90.7%, white: 4.7%, white: 2.2%"
