filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
00096180014947910921026.jpg,8.95,635,"gray, gray, white","gray: 30.0%, gray: 29.3%, white: 17.5%"
05819280015911796649727.jpg,960.93,1,"gray, black, black","gray: 30.4%, black: 30.1%, black: 20.4%"
09624110015898065506629.jpg,684.53,1,"black, gray, gray","black: 44.7%, gray: 17.8%, gray: 15.9%"
3-s2.0-B9780123838322000931-f90-01-9780123838322.jpg,34.25,17,"maroon, brown, gray","maroon: 27.1%, brown: 25.6%, gray: 18.5%"
3-s2.0-B9780123838322000931-f90-02-9780123838322.jpg,31.0,19,"maroon, brown, gray","maroon: 25.8%, brown: 22.8%, gray: 19.4%"
3-s2.0-B9780123838322000931-f90-03-9780123838322.jpg,221.19,2,"brown, black, gray","brown: 35.7%, black: 24.9%, gray: 20.1%"
3-s2.0-B9780128141243001023-f102-07-9780128141243.jpg,242.78,2,"gray, brown, black","gray: 27.0%, brown: 22.3%, black: 21.5%"
3-s2.0-B9780128205853000077-f07-18-9780128205853.jpg,165.9,2,"gray, gray, gray","gray: 31.2%, gray: 22.5%, gray: 21.1%"
3-s2.0-B9780128205853000077-f07-19-9780128205853.jpg,12.14,53,"gray, gray, gray","gray: 35.9%, gray: 25.2%, gray: 17.4%"
3-s2.0-B9780444639011000411-f41-10-9780444639011.jpg,51.83,8,"gray, gray, brown","gray: 29.3%, gray: 24.4%, brown: 22.9%"
3-s2.0-B9780444639011000411-f41-11-9780444639011.jpg,19.08,84,"lightgray, white, gray","lightgray: 37.1%, white: 20.8%, gray: 15.4%"
3-s2.0-B9780444639011000411-f41-12-9780444639011.jpg,19.83,95,"white, white, black","white: 39.0%, white: 27.6%, black: 14.7%"
amphibolite.jpg,33.68,9,"white, gray, black","white: 46.6%, gray: 16.6%, black: 15.5%"
gneiss.jpg,16.14,32,"gray, gray, gray","gray: 37.4%, gray: 19.8%, gray: 19.6%"
images(1).jpg,0,0,"white, white, white","white: 33.3%, white: 30.8%, white: 16.1%"
images(10).jpg,53.35,2,"black, white, gray","black: 34.2%, white: 26.5%, gray: 17.9%"
