filename,mean_grain_diameter_px,grain_count,dominant_colors,color_percentages
0.jpg,13.88,171,"brown, gray, gray","brown: 24.4%, gray: 21.5%, gray: 19.9%"
1.jpg,12.35,105,"white, brown, gray","white: 40.6%, brown: 19.8%, gray: 16.7%"
10.jpg,27.31,18,"white, gray, white","white: 55.0%, gray: 14.6%, white: 13.5%"
100.jpg,11.98,154,"gray, black, white","gray: 23.1%, black: 20.6%, white: 19.3%"
101.jpg,141.22,4,"black, black, gray","black: 30.3%, black: 23.9%, gray: 21.7%"
102.jpg,16.7,90,"orange, orange, orange","orange: 29.6%, orange: 24.2%, orange: 20.0%"
103.jpg,24.08,36,"gray, orange, brown","gray: 27.7%, orange: 21.9%, brown: 19.5%"
104.jpg,242.14,1,"gray, gray, gray","gray: 53.1%, gray: 33.2%, gray: 4.9%"
105.jpg,17.93,58,"navy, gray, gray","navy: 33.7%, gray: 25.2%, gray: 16.6%"
106.jpg,34.72,19,"maroon, brown, orange","maroon: 34.7%, brown: 34.1%, orange: 19.2%"
107.jpg,49.11,13,"black, maroon, brown","black: 48.8%, maroon: 24.1%, brown: 13.9%"
108.jpg,11.78,138,"gray, gray, brown","gray: 27.7%, gray: 26.6%, brown: 20.4%"
109.jpg,12.94,108,"brown, orange, brown","brown: 28.1%, orange: 25.2%, brown: 17.1%"
11.jpg,10.88,21,"white, gray, gray","white: 50.9%, gray: 18.2%, gray: 12.2%"
110.jpg,11.6,73,"gray, orange, white","gray: 24.9%, orange: 24.2%, white: 21.2%"
111.jpg,21.6,52,"gray, gray, maroon","gray: 36.0%, gray: 25.5%, maroon: 21.3%"
112.jpg,16.41,87,"brown, gray, gray","brown: 26.1%, gray: 22.4%, gray: 22.0%"
113.jpg,15.17,120,"gray, gray, gray","gray: 29.0%, gray: 28.1%, gray: 19.7%"
114.jpg,14.37,62,"gray, gray, gray","gray: 34.8%, gray: 25.8%, gray: 16.3%"
115.jpg,188.96,3,"gray, gray, gray","gray: 29.3%, gray: 25.1%, gray: 21.6%"
116.jpg,26.53,22,"white, black, gray","white: 33.4%, black: 30.2%, gray: 16.7%"
117.jpg,45.46,12,"black, gray, white","black: 25.7%, gray: 21.3%, white: 19.7%"
118.jpg,18.88,49,"gray, gray, white","gray: 26.1%, gray: 25.2%, white: 24.4%"
119.jpg,23.11,23,"white, gray, gray","white: 30.9%, gray: 20.7%, gray: 18.6%"
12.jpg,7.6,794,"white, white, gray","white: 35.2%, white: 23.7%, gray: 22.8%"
120.jpg,18.34,69,"gray, gray, gray","gray: 24.4%, gray: 23.2%, gray: 22.9%"
121.jpg,91.44,7,"maroon, black, brown","maroon: 40.1%, black: 34.8%, brown: 16.9%"
122.jpg,176.24,3,"black, gray, brown","black: 35.3%, gray: 33.5%, brown: 15.2%"
123.jpg,0,0,"gray, gray, gray","gray: 29.0%, gray: 27.2%, gray: 19.6%"
124.jpg,64.39,14,"brown, black, brown","brown: 30.9%, black: 22.7%, brown: 21.0%"
125.jpg,116.47,5,"maroon, brown, orange","maroon: 48.2%, brown: 30.3%, orange: 13.5%"
126.jpg,16.75,38,"gray, gray, gray","gray: 26.2%, gray: 24.7%, gray: 21.4%"
127.jpg,23.74,32,"white, brown, maroon","white: 24.3%, brown: 23.1%, maroon: 19.5%"
128.jpg,18.05,46,"brown, gray, brown","brown: 29.1%, gray: 27.2%, brown: 22.9%"
129.jpg,7.28,324,"gray, gray, gray","gray: 29.2%, gray: 26.3%, gray: 22.2%"
13.jpg,25.37,44,"gray, gray, gray","gray: 28.7%, gray: 23.5%, gray: 22.5%"
130.jpg,9.41,7,"gray, gray, white","gray: 35.3%, gray: 29.8%, white: 20.4%"
131.jpg,6.01,18,"gray, white, gray","gray: 31.3%, white: 29.3%, gray: 19.5%"
132.jpg,9.08,291,"gray, gray, gray","gray: 28.5%, gray: 27.6%, gray: 17.2%"
133.jpg,147.53,4,"gray, navy, brown","gray: 29.6%, navy: 19.6%, brown: 19.5%"
134.jpg,16.91,77,"gray, gray, gray","gray: 20.5%, gray: 20.4%, gray: 20.2%"
135.jpg,35.35,22,"brown, brown, brown","brown: 27.6%, brown: 24.1%, brown: 23.0%"
136.jpg,12.61,75,"orange, brown, maroon","orange: 27.2%, brown: 25.8%, maroon: 19.4%"
137.jpg,19.21,71,"gray, gray, brown","gray: 31.2%, gray: 22.8%, brown: 20.4%"
138.jpg,17.8,103,"gray, gray, gray","gray: 27.3%, gray: 26.5%, gray: 19.0%"
139.jpg,220.34,3,"black, gray, gray","black: 41.4%, gray: 29.6%, gray: 15.8%"
14.jpg,901.57,1,"black, brown, gray","black: 72.0%, brown: 9.4%, gray: 9.0%"
140.jpg,78.56,7,"black, black, gray","black: 32.6%, black: 27.8%, gray: 15.5%"
141.jpg,11.73,44,"white, white, gray","white: 33.6%, white: 29.4%, gray: 21.9%"
142.jpg,0,0,"gray, white, gray","gray: 30.0%, white: 25.6%, gray: 21.5%"
143.jpg,562.69,1,"black, brown, black","black: 68.6%, brown: 10.7%, black: 9.1%"
144.jpg,5.2,45,"gray, gray, gray","gray: 28.7%, gray: 28.3%, gray: 18.8%"
145.jpg,18.12,58,"gray, gray, gray","gray: 25.0%, gray: 23.0%, gray: 20.2%"
146.jpg,12.87,156,"gray, gray, gray","gray: 29.3%, gray: 27.7%, gray: 17.7%"
147.jpg,14.14,88,"gray, gray, gray","gray: 27.6%, gray: 20.2%, gray: 19.4%"
148.jpg,21.7,66,"gray, gray, gray","gray: 27.2%, gray: 26.8%, gray: 19.3%"
149.jpg,36.63,14,"gray, black, white","gray: 30.7%, black: 26.4%, white: 18.0%"
150.jpg,205.19,3,"black, gray, gray","black: 43.3%, gray: 25.4%, gray: 19.7%"
151.jpg,13.75,133,"gray, navy, gray","gray: 36.2%, navy: 22.2%, gray: 19.3%"
152.jpg,10.81,93,"gray, gray, gray","gray: 37.9%, gray: 22.0%, gray: 18.4%"
153.jpg,59.0,22,"orange, gray, brown","orange: 24.2%, gray: 23.4%, brown: 19.9%"
154.jpg,17.52,77,"black, gray, brown","black: 31.1%, gray: 20.7%, brown: 20.7%"
155.jpg,19.94,30,"orange, white, brown","orange: 29.2%, white: 25.5%, brown: 21.5%"
156.jpg,28.6,21,"brown, white, orange","brown: 29.1%, white: 25.5%, orange: 19.6%"
157.jpg,523.3,1,"gray, black, gray","gray: 35.5%, black: 23.5%, gray: 19.7%"
158.jpg,28.73,26,"brown, black, gray","brown: 24.6%, black: 21.3%, gray: 20.4%"
159.jpg,115.84,5,"black, navy, gray","black: 30.8%, navy: 29.8%, gray: 19.1%"
16.jpg,43.12,22,"maroon, brown, gray","maroon: 37.9%, brown: 18.3%, gray: 15.9%"
160.jpg,36.02,23,"brown, gray, black","brown: 28.5%, gray: 24.0%, black: 22.6%"
161.jpg,11.94,58,"gray, gray, gray","gray: 27.5%, gray: 22.8%, gray: 21.1%"
162.jpg,197.9,2,"white, white, gray","white: 37.2%, white: 34.7%, gray: 23.7%"
163.jpg,140.07,4,"black, maroon, maroon","black: 49.2%, maroon: 18.9%, maroon: 13.9%"
164.jpg,17.84,66,"gray, gray, white","gray: 28.3%, gray: 20.6%, white: 18.5%"
165.jpg,17.84,66,"gray, gray, white","gray: 28.3%, gray: 20.6%, white: 18.5%"
166.jpg,56.59,11,"black, gray, black","black: 26.6%, gray: 24.0%, black: 20.2%"
167.jpg,562.67,1,"black, brown, black","black: 27.5%, brown: 23.9%, black: 23.7%"
168.jpg,29.8,21,"orange, orange, brown","orange: 31.9%, orange: 25.0%, brown: 21.9%"
169.jpg,30.06,60,"brown, gray, gray","brown: 29.2%, gray: 27.0%, gray: 22.7%"
17.jpg,144.72,4,"gray, gray, gray","gray: 29.4%, gray: 27.1%, gray: 20.7%"
170.jpg,16.02,90,"orange, brown, brown","orange: 30.3%, brown: 30.0%, brown: 16.5%"
171.jpg,24.46,42,"navy, gray, white","navy: 29.7%, gray: 23.4%, white: 19.7%"
172.jpg,10.29,165,"black, gray, gray","black: 24.1%, gray: 23.2%, gray: 20.0%"
173.jpg,19.83,39,"gray, brown, gray","gray: 29.4%, brown: 22.7%, gray: 16.3%"
174.jpg,20.39,34,"brown, brown, gray","brown: 33.0%, brown: 25.4%, gray: 18.3%"
175.jpg,40.29,23,"white, gray, gray","white: 30.0%, gray: 22.9%, gray: 18.4%"
176.jpg,26.97,27,"maroon, brown, gray","maroon: 31.2%, brown: 28.5%, gray: 18.8%"
177.jpg,42.81,13,"black, white, gray","black: 48.3%, white: 14.2%, gray: 13.5%"
178.jpg,6.61,70,"gray, gray, white","gray: 42.1%, gray: 26.6%, white: 21.1%"
179.jpg,10.55,71,"gray, white, gray","gray: 32.3%, white: 24.4%, gray: 19.7%"
18.jpg,12.38,148,"black, gray, navy","black: 23.2%, gray: 22.8%, navy: 20.3%"
180.jpg,232.11,2,"maroon, gray, gray","maroon: 39.5%, gray: 19.8%, gray: 19.1%"
181.jpg,5.82,10,"gray, gray, gray","gray: 27.4%, gray: 25.4%, gray: 21.8%"
182.jpg,5.54,14,"gray, white, gray","gray: 41.9%, white: 25.4%, gray: 24.1%"
183.jpg,6.35,69,"gray, gray, gray","gray: 29.5%, gray: 29.3%, gray: 19.5%"
184.jpg,14.53,63,"gray, gray, gray","gray: 30.1%, gray: 25.8%, gray: 22.8%"
185.jpg,23.56,30,"black, black, gray","black: 32.6%, black: 24.4%, gray: 21.0%"
186.jpg,52.72,11,"black, gray, black","black: 24.7%, gray: 23.4%, black: 23.0%"
187.jpg,75.24,7,"white, gray, gray","white: 34.4%, gray: 22.3%, gray: 18.3%"
188.jpg,24.48,32,"navy, gray, black","navy: 27.1%, gray: 24.9%, black: 19.9%"
189.jpg,11.13,35,"white, white, gray","white: 64.9%, white: 12.2%, gray: 10.2%"
19.jpg,12.14,134,"gray, gray, brown","gray: 32.6%, gray: 30.3%, brown: 13.1%"
190.jpg,116.42,5,"brown, gray, black","brown: 24.0%, gray: 21.5%, black: 19.7%"
191.jpg,12.37,148,"gray, brown, gray","gray: 27.0%, brown: 24.3%, gray: 23.8%"
192.jpg,15.86,105,"orange, brown, maroon","orange: 34.4%, brown: 29.1%, maroon: 21.8%"
193.jpg,11.44,127,"gray, gray, brown","gray: 32.0%, gray: 32.0%, brown: 14.7%"
194.jpg,14.02,118,"gray, gray, gray","gray: 25.8%, gray: 23.5%, gray: 22.0%"
195.jpg,562.0,1,"black, black, maroon","black: 57.1%, black: 23.6%, maroon: 12.2%"
